hours_studied,previous_grade,parental_support,attendance,extracurricular,family_income,class_participation,homework_completion,sleep_hours,final_grade
2,41,1,74,0,121398,1,10,15,80
6,30,0,93,1,150533,0,19,21,47
1,77,1,61,0,100198,1,63,23,41
7,38,0,77,1,53324,0,56,15,64
9,94,0,81,1,186651,0,0,5,70
5,69,1,71,0,119814,1,96,6,64
12,70,1,90,1,65317,0,81,20,69
11,88,1,74,0,140268,0,42,8,91
12,70,0,95,1,76410,1,96,21,73
10,89,0,92,1,151615,1,25,14,41
2,36,0,49,1,156785,1,22,22,84
11,92,1,66,0,59880,1,82,5,86
5,82,0,77,0,132401,0,97,10,93
4,68,0,81,1,156850,1,39,23,43
12,55,0,42,0,89237,0,91,19,45
9,44,1,73,0,127994,0,6,12,57
6,94,1,55,1,114402,1,49,8,72
10,84,1,69,0,196030,1,43,21,42
3,64,0,76,1,92355,1,6,21,45
6,86,1,96,1,199094,1,68,17,76
2,88,1,54,0,132333,0,63,22,74
12,49,0,82,1,102517,1,51,11,68
7,49,1,52,1,122860,0,49,21,74
9,96,1,96,0,138689,1,43,20,71
11,53,1,84,1,148443,0,87,12,58
8,31,1,77,1,58509,0,53,19,82
4,87,0,69,1,151331,1,7,6,77
6,81,1,48,0,159287,1,42,21,43
7,50,1,44,1,63658,1,1,17,40
8,67,0,66,1,87456,1,59,16,86
1,80,1,59,1,81453,0,17,12,46
2,44,0,49,0,133685,0,26,8,97
2,98,0,67,1,55416,1,2,23,66
5,97,1,85,1,98303,0,51,10,43
11,62,0,71,1,88287,0,26,10,53
1,85,0,87,1,110410,1,24,19,87
12,87,1,51,0,82337,1,82,13,52
2,33,1,94,1,96812,0,11,9,76
10,72,1,62,0,123591,0,85,19,91
6,42,1,68,1,174885,0,32,12,64
5,44,0,59,1,175934,1,52,23,85
2,67,1,86,0,124681,0,12,17,84
5,36,0,91,1,71030,1,97,5,82
7,98,1,98,1,53767,1,66,11,61
6,69,0,63,0,194222,1,95,15,62
1,99,1,62,1,86159,1,22,7,93
10,56,0,98,1,187917,0,45,13,73
5,57,0,73,0,131206,0,28,23,79
2,33,1,55,1,180846,1,50,17,46
9,65,0,41,0,175676,0,36,11,89
8,75,1,80,0,85593,1,42,23,85
9,53,0,49,0,149402,0,62,22,51
4,93,1,54,0,170364,0,4,15,44
9,62,1,96,0,91932,1,30,16,55
11,97,0,41,1,135114,0,37,6,65
10,61,1,59,0,148956,0,38,16,86
11,96,1,56,1,170753,0,85,20,78
5,92,0,89,1,124017,1,17,23,56
12,71,0,82,0,137607,0,34,17,60
4,89,1,67,0,52569,0,27,16,67
6,41,0,62,0,159511,1,65,8,46
1,78,0,74,0,137091,1,70,11,57
2,89,0,88,1,101361,0,94,13,86
3,70,1,86,0,55849,0,72,10,70
10,65,0,53,1,51355,1,50,21,90
11,91,1,59,1,161886,0,3,9,66
7,56,0,94,0,163435,0,65,13,54
7,98,0,71,1,175973,1,60,8,53
8,98,0,55,1,172075,1,65,15,64
3,43,0,55,0,102662,1,91,15,40
5,68,0,90,1,126762,0,76,14,94
1,73,1,92,1,134637,1,30,17,43
11,33,1,53,1,176340,1,7,21,47
9,84,0,69,1,150879,0,78,8,69
2,77,1,50,0,117564,0,43,12,66
4,44,0,63,1,100989,0,45,22,49
11,37,1,83,1,172949,1,38,15,72
6,33,1,93,0,150702,1,61,19,93
10,46,0,95,1,170423,0,23,23,71
11,64,0,43,0,158121,0,76,21,87
7,52,1,43,0,87485,1,86,6,45
9,38,0,91,1,154117,0,20,21,44
9,90,0,74,0,175147,1,62,11,62
3,51,0,68,1,109246,1,49,14,75
13,88,0,47,0,56499,0,62,17,66
11,33,0,59,1,199515,1,30,13,45
6,84,0,64,0,94958,0,11,12,49
9,76,1,60,0,179967,1,64,17,45
4,70,1,89,0,82670,1,24,21,79
8,36,0,62,1,133448,1,7,12,63
7,87,1,49,0,77830,0,38,16,97
13,87,0,49,1,130358,1,28,12,94
6,41,0,99,1,102758,0,39,7,92
12,71,0,96,0,116406,0,21,13,96
7,63,1,61,1,51834,0,81,16,49
6,46,0,54,0,139622,1,72,7,66
3,76,1,80,0,67436,0,97,22,48
4,33,0,95,0,111536,1,46,5,58
5,96,0,49,0,161777,1,30,13,74
9,74,0,50,0,166710,0,25,15,79
12,55,1,40,0,140127,1,10,18,95
4,92,1,77,1,119343,0,21,11,83
7,37,1,50,0,198296,0,3,21,50
4,39,1,76,1,56703,0,34,10,60
5,73,0,72,0,138283,1,72,21,54
8,92,0,56,1,69257,0,71,9,46
9,43,0,88,0,57691,1,2,14,91
11,79,0,48,0,87528,1,29,16,87
13,48,0,42,1,176188,0,25,20,46
4,36,1,47,0,118701,1,39,12,71
3,61,0,58,1,132026,0,32,14,69
11,90,0,64,0,193588,0,30,19,70
3,37,0,72,0,138000,1,18,14,78
7,62,0,87,0,168304,1,77,21,42
5,63,1,43,1,149851,1,66,22,42
10,82,1,66,1,92817,1,0,17,53
10,32,1,46,1,159320,0,77,23,52
8,31,0,79,0,195479,0,53,17,68
13,71,1,49,1,93425,1,12,22,81
10,38,0,42,1,116912,1,99,18,93
13,49,0,84,1,155608,0,46,17,69
7,41,1,99,0,131266,1,63,20,90
4,92,1,86,0,85982,0,1,15,87
7,97,1,66,1,185426,0,37,9,57
1,87,0,72,0,178837,1,4,20,72
13,72,0,42,0,160787,0,77,18,63
6,53,1,72,1,78756,0,19,18,42
9,53,1,40,1,67572,0,80,21,51
2,30,0,94,1,138684,0,48,9,45
3,62,0,51,0,62281,0,52,13,70
1,72,1,60,0,152952,0,73,9,53
4,67,1,53,0,91153,1,78,12,77
8,50,0,58,0,135824,0,40,11,93
1,31,0,48,0,96510,0,78,19,49
6,70,1,90,0,150946,1,15,14,63
13,50,1,66,1,127780,0,55,10,42
1,32,1,70,0,66150,1,73,22,71
7,91,1,47,1,65790,0,22,10,78
11,96,0,94,0,79518,0,94,11,47
4,44,1,98,0,160107,1,64,23,72
7,86,0,53,1,57622,0,58,23,88
12,85,1,46,1,115896,1,96,22,78
9,34,1,96,0,131379,0,38,9,81
9,62,0,45,1,79502,0,28,13,71
8,35,1,67,0,167727,0,58,6,73
2,42,0,51,0,57196,0,88,15,90
13,87,0,71,1,143302,0,99,9,66
2,97,0,98,1,113967,1,49,8,42
11,83,1,82,0,115692,0,44,10,80
13,51,0,79,1,147520,1,67,20,50
7,51,1,52,0,196961,0,59,11,60
6,37,0,77,0,72370,0,2,5,42
6,68,0,69,1,89264,1,32,18,92
7,83,1,69,1,147085,0,79,18,88
3,85,0,45,0,156146,1,18,19,51
13,45,1,82,0,128594,0,37,15,52
1,93,1,64,1,117218,1,30,5,78
13,55,1,47,1,83022,1,55,21,78
1,71,1,79,1,72215,0,99,9,79
9,69,1,97,1,181961,0,81,10,57
2,47,0,88,0,150816,0,36,12,87
13,98,0,47,0,194035,1,98,13,49
1,77,1,46,0,119005,0,24,15,99
5,94,1,83,1,70329,0,67,13,43
12,75,1,43,1,119618,1,47,17,81
12,77,0,44,0,166953,0,6,12,51
7,45,1,83,1,94334,0,41,20,51
5,77,0,64,0,148505,0,65,9,53
9,61,1,90,1,137898,1,95,6,99
2,72,1,64,1,195167,1,26,17,88
10,44,0,42,0,184576,1,54,9,63
8,79,0,74,0,164924,1,24,19,86
9,69,1,78,0,94569,1,0,12,56
12,78,0,75,0,106748,0,84,6,87
6,68,0,91,0,179426,1,54,8,49
8,37,1,63,0,54690,0,78,20,82
13,96,1,62,1,185633,1,15,22,54
4,76,1,99,1,192604,1,31,17,92
3,79,1,45,1,140140,1,14,23,92
1,67,1,67,0,104170,1,17,7,50
11,37,0,90,1,172089,1,41,12,73
5,80,1,80,1,91046,1,6,8,84
4,73,0,61,1,147744,1,77,16,96
1,43,1,89,1,134592,1,72,21,40
10,70,0,55,1,182373,1,19,6,57
4,91,1,73,1,60015,0,61,13,47
12,33,1,42,0,69979,0,27,16,75
13,89,0,52,1,184863,0,59,23,93
9,50,0,60,0,118181,0,17,5,79
13,83,1,99,0,174048,0,16,18,45
2,65,1,69,1,188886,0,85,17,95
3,53,1,69,0,153456,1,86,18,51
6,41,0,53,0,153667,1,61,5,81
8,67,0,48,1,63381,1,63,5,83
12,77,1,68,0,83701,1,85,11,97
12,49,1,81,1,157340,0,23,22,99
10,84,1,73,1,138720,1,50,17,48
9,30,1,98,0,117547,0,82,20,99
13,84,0,61,0,70278,0,1,15,54
4,30,1,79,0,72844,0,12,18,76
11,54,0,95,0,176941,0,86,7,63
12,59,0,73,0,181633,1,61,7,52
8,88,0,91,0,88668,0,5,10,79
7,59,0,92,0,154518,0,9,15,68
5,96,1,49,0,57818,1,30,14,66
8,55,0,69,1,149651,1,37,19,89
3,54,0,98,0,93568,0,56,5,48
13,30,0,98,0,52956,0,69,22,51
5,43,0,53,0,154385,1,67,8,46
9,66,0,77,1,112203,0,16,17,78
11,35,0,91,1,149756,1,22,10,42
6,71,0,54,0,194267,1,25,7,62
11,89,0,50,0,169831,0,61,10,92
2,43,0,65,0,54397,0,72,8,83
2,62,1,79,1,156399,1,88,5,91
8,92,0,73,1,149263,1,24,5,84
1,89,0,40,0,156533,1,37,15,54
6,82,0,66,1,140066,0,55,11,82
3,91,1,83,0,178891,1,38,6,99
8,63,1,70,0,171941,0,18,5,55
9,71,0,60,0,161962,0,84,11,77
7,60,0,80,1,61391,1,21,12,70
1,78,1,42,0,139732,0,3,20,80
8,73,1,57,1,119471,0,55,7,79
2,31,0,84,0,133044,1,90,6,94
1,38,1,58,1,83833,1,90,7,81
4,60,0,82,0,72134,0,20,23,93
2,87,0,58,1,120953,1,78,21,46
13,81,0,97,1,146484,1,25,22,84
8,87,1,89,1,155852,0,45,17,44
11,37,0,69,0,114659,0,98,6,84
13,83,0,46,0,109600,0,74,17,70
9,85,1,87,0,73423,0,4,10,81
4,88,1,68,1,199691,1,10,7,59
1,60,1,89,1,156509,1,56,17,40
1,40,1,58,1,189752,1,6,8,95
10,67,0,71,1,124685,0,87,22,70
13,40,0,52,1,192445,0,80,16,87
12,88,0,62,1,115091,1,77,5,68
11,37,0,59,1,75100,0,79,19,60
4,48,1,69,1,62459,0,49,10,83
5,53,0,40,1,149139,0,15,14,71
6,62,1,69,0,114756,0,48,10,83
10,62,1,72,0,102815,1,94,18,82
13,40,1,43,1,134523,1,2,11,95
4,36,0,85,1,106232,0,20,7,67
9,54,0,86,0,194965,1,26,19,42
10,89,0,51,1,100450,0,37,7,95
12,49,1,64,0,86625,0,91,15,56
2,85,1,92,1,195728,0,79,16,50
10,37,1,81,0,60500,0,29,13,68
9,63,0,80,1,64159,0,63,10,89
1,51,1,45,0,64636,0,8,14,41
10,33,1,73,0,184302,0,7,8,47
6,58,1,92,1,150782,0,63,8,64
3,73,0,96,1,182068,0,51,18,78
10,83,0,86,1,146713,0,67,22,90
3,63,0,93,1,143998,0,94,22,49
6,64,1,87,0,117996,0,69,13,42
9,88,0,52,1,171626,0,48,9,99
1,42,0,70,0,88570,0,36,15,79
7,69,0,95,0,134015,0,47,16,93
5,30,0,92,0,76212,0,70,16,78
2,88,0,48,0,77707,1,51,19,84
5,65,1,46,0,171969,0,41,7,65
13,87,0,43,1,73629,0,30,18,86
9,31,1,65,0,68232,1,74,16,92
2,38,1,71,1,199246,0,10,15,88
3,81,1,97,0,132695,1,13,11,91
13,99,0,94,0,125528,0,80,14,62
4,56,1,90,0,155422,1,51,9,83
3,93,1,54,1,105335,0,38,16,60
4,89,0,89,0,169637,0,4,11,57
13,68,1,43,1,185358,0,63,14,75
3,95,0,56,0,59706,1,13,14,42
7,64,0,77,0,190943,0,19,16,80
13,55,0,80,0,127207,0,30,14,76
9,67,1,67,0,142287,1,59,8,63
4,93,0,83,0,101748,1,25,23,87
6,68,0,62,0,155598,0,66,14,59
6,96,1,55,1,62084,1,28,5,79
8,75,0,51,0,150822,1,89,5,85
9,96,0,43,1,166998,0,74,14,97
2,38,1,58,1,165481,0,15,11,69
1,34,0,96,0,78241,1,31,5,59
11,85,0,45,1,191365,0,99,20,46
9,42,0,74,0,192749,0,52,18,71
12,90,1,41,1,173338,1,37,21,77
9,97,0,79,1,166667,0,40,19,49
9,74,1,42,0,194360,1,51,5,78
4,33,1,77,1,142318,0,2,21,80
8,91,0,74,1,99666,1,80,18,82
6,36,0,60,1,168166,0,77,10,80
6,77,0,45,0,68836,1,15,22,93
13,97,0,58,1,89789,0,97,5,40
8,70,0,43,1,188007,0,83,6,51
3,51,1,44,0,54091,1,33,6,79
12,92,0,65,0,85970,0,80,9,83
6,98,0,55,1,168749,1,86,22,81
2,70,1,49,1,92659,1,28,11,67
3,72,1,54,1,50982,0,8,10,44
13,73,1,45,0,111945,1,82,20,67
11,73,1,89,1,180950,1,2,16,69
4,76,0,79,1,117619,0,82,16,87
11,80,0,85,0,119496,1,22,18,67
8,76,1,78,1,174603,1,42,21,65
6,59,0,69,0,199629,1,99,7,94
9,37,1,90,0,107612,0,17,15,73
13,30,1,78,1,190950,0,7,23,40
1,61,0,49,1,116492,0,61,22,77
6,73,1,69,1,51270,1,33,9,98
2,45,0,90,1,61582,0,91,20,65
1,61,1,59,1,160978,0,74,9,67
7,60,1,54,0,170271,1,11,14,40
3,34,1,88,1,126484,0,48,17,97
1,36,0,72,1,101873,0,87,9,71
1,63,1,99,1,84926,0,53,19,68
12,47,1,55,1,180141,0,99,6,59
12,35,1,81,1,196485,1,57,23,56
5,62,0,84,1,91301,1,83,8,96
7,99,1,84,0,141964,0,86,9,53
11,42,1,75,0,95340,1,54,9,98
9,77,1,50,0,132633,0,21,20,67
1,64,0,42,1,56369,0,63,14,70
11,96,0,87,1,94221,1,54,5,44
7,72,1,65,1,95713,1,64,16,65
2,79,1,89,1,57236,0,83,8,77
2,30,0,43,0,125095,1,92,12,76
3,45,1,84,1,116573,1,1,22,98
6,84,0,58,0,178515,1,97,13,73
3,88,1,47,0,95184,1,68,11,92
1,45,0,88,1,159550,0,12,9,92
4,47,1,42,0,119768,0,58,5,47
13,79,1,88,1,65716,1,69,13,94
12,54,1,66,1,133166,0,14,13,48
4,76,1,56,1,144749,1,21,23,94
10,96,1,58,0,133271,0,54,5,56
10,44,0,75,1,199414,0,10,21,98
1,70,1,44,1,149508,1,37,17,80
12,42,1,92,1,139605,0,13,10,63
13,36,1,58,0,82128,0,11,9,75
8,80,1,85,0,122390,1,22,20,93
8,88,1,94,1,85534,1,7,10,41
1,31,1,71,0,131347,1,67,8,56
8,47,1,77,1,141124,1,77,18,84
9,32,1,80,0,170584,1,28,6,56
4,77,1,50,0,164548,0,30,14,70
4,79,0,41,0,90519,0,63,23,42
7,85,1,76,1,88800,0,89,10,96
3,58,1,78,0,55019,0,47,20,93
6,35,0,87,0,88719,0,42,9,59
13,82,1,47,1,54102,0,10,20,70
11,96,0,40,0,124520,1,39,22,65
13,63,0,92,0,129139,0,69,11,47
2,47,1,99,0,191266,0,4,9,42
12,33,0,88,1,149980,0,48,15,80
5,85,0,46,1,113173,0,45,11,89
8,47,1,85,1,109723,0,48,9,93
13,59,1,46,0,73358,0,51,23,84
6,90,0,93,1,113181,0,54,8,85
4,40,0,44,0,196370,1,40,9,87
1,37,1,82,1,197702,1,11,11,70
11,95,0,76,1,199527,0,16,21,99
9,31,1,85,1,140204,0,13,20,83
2,55,0,71,1,130364,1,9,17,81
10,73,0,67,0,78280,1,76,13,80
7,31,0,43,1,56628,0,83,19,83
11,36,1,44,0,130203,0,13,18,76
4,50,0,94,0,115176,1,60,7,44
5,74,1,82,1,112906,0,31,7,94
3,52,1,97,0,67114,0,91,5,92
7,63,0,42,1,80779,0,17,15,47
9,47,0,87,0,155899,0,7,10,75
7,39,1,58,1,96795,0,48,10,86
6,40,0,54,1,58094,1,7,16,55
5,48,0,64,1,87288,1,87,9,47
5,84,1,52,1,163891,0,9,10,98
10,50,0,61,1,128501,0,21,9,90
2,72,0,52,0,142282,0,67,19,78
3,38,0,77,0,113908,1,83,23,65
10,66,0,91,1,199064,0,80,18,80
1,54,0,88,1,132360,1,72,23,94
5,53,1,79,1,66894,1,9,7,54
13,47,0,90,0,77367,1,68,12,54
1,74,1,58,0,108724,0,34,20,50
4,73,0,78,1,89517,0,97,10,94
4,59,1,95,1,106889,0,48,10,51
7,99,0,70,1,141205,1,31,11,65
13,60,0,87,0,69913,1,58,17,92
6,97,0,51,1,58478,0,53,7,68
6,42,1,46,0,129054,1,32,15,62
5,74,1,82,1,174347,1,49,18,56
8,57,0,54,1,133552,1,22,6,94
5,86,1,88,1,54504,1,78,11,96
10,51,0,88,1,137508,0,13,11,93
5,86,1,87,0,171568,1,2,14,42
12,39,1,95,0,79496,0,3,22,42
8,91,0,82,0,64553,0,17,5,72
12,94,0,67,0,138539,0,98,12,75
13,44,0,86,1,128626,0,22,7,46
12,32,1,79,0,167659,1,69,19,86
4,41,1,94,1,92767,1,94,6,87
12,59,0,92,0,195214,1,65,19,69
2,63,0,67,0,57740,1,11,5,98
10,90,0,76,1,82603,0,63,18,56
7,40,0,92,1,64699,1,17,11,52
5,64,1,49,1,86374,1,18,7,68
8,30,0,84,0,58476,1,47,11,77
2,77,0,64,1,89989,1,34,8,51
5,66,0,88,1,57773,1,47,11,88
5,66,0,47,1,192288,1,42,14,84
9,72,0,44,1,179247,0,44,18,46
6,38,0,72,1,143335,1,83,12,40
9,95,1,70,1,198717,0,53,9,78
11,42,0,44,1,159129,0,21,11,67
10,47,0,58,1,78605,1,92,19,97
6,39,1,71,0,93454,1,17,18,62
11,63,1,80,1,176678,0,77,21,95
13,53,1,89,0,189805,1,77,18,93
4,96,1,40,0,83460,1,33,16,87
5,73,1,72,0,106542,1,79,23,56
1,31,1,58,1,105570,0,78,6,97
8,85,0,61,0,126493,1,30,6,47
7,99,0,82,0,110132,1,72,11,40
13,31,1,56,0,151988,0,87,14,94
12,81,0,53,1,105545,0,75,17,53
2,56,0,67,1,84476,1,21,15,93
1,94,1,89,0,177240,1,44,5,85
11,89,1,89,1,114334,1,23,11,83
1,79,0,98,0,152926,1,64,13,85
5,65,0,51,1,101289,0,73,6,84
12,80,1,84,1,142864,0,36,7,89
